Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Contest Grade,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
.SCTimeline,3222.998,28.130999999999858,Red,18,"Deflection, -2",Box Touch 1,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden,Baseline Touch,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden",Half Court ,Reversal 2,Shot Qual 1,,,,
.SCTimeline,3425.896,24.942999999999756,Red,19,+3,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #44 Jacob Wassler,Baseline Touch,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #44 Jacob Wassler",Half Court ,Reversal 1,Shot Qual 2,,,,
.SCTimeline,4101.497,15.298999999999978,Red,20,-3,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,"5v5 Scramble, 4v4","#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 1,Shot Qual 3,,,,
.SCTimeline,4128.916,19.264000000000124,Red,21,-3,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,"5v5 Scramble, 4v4","#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 1,Shot Qual 2,,,,
.SCTimeline,4146.18,13.295000000000073,Red,22,-2,Box Touch 1,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,"5v5 Scramble, 4v4","#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 1,Shot Qual 3,,,,
.SCTimeline,4172.198,16.929000000000087,Red,23,-3,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,"5v5 Scramble, 4v4","#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 0,Shot Qual 2,,,,
.SCTimeline,4262.697,17.675999999999476,Red,24,-2,Box Touch 1,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden,"5v5 Scramble, 4v4","#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden",Half Court ,Reversal 1,Shot Qual 2,,,,
.SCTimeline,4298.433,20.0600000000004,Red,25,-2,Box Touch 1,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden,"5v5 Scramble, 4v4","#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden",Half Court ,Reversal 0,Shot Qual 2,,,,
.SCTimeline,4316.242,4.8840000000000146,Red,26,-2,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden,"5v5 Scramble, 4v4","#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden",Half Court ,Reversal 0,Shot Qual 2,,,,
.SCTimeline,4331.297,19.16700000000037,Red,27,-3,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden,"5v5 Scramble, 4v4","#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden",Half Court ,Reversal 1,Shot Qual 2,,,,
.SCTimeline,5348.397,8.704999999999927,Red,28,,Box Touch 0,, | #0 Tommy Clark | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy,4v4,"#0 Tommy Clark, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy",Half Court ,Reversal 0,No Shot,,,,
.SCTimeline,5428.498,15.9350000000004,Red,29,+2,Box Touch 1,, | #5 Myles Watkins | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,4v4,"#5 Myles Watkins, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler","Half Court , Half Court ",Reversal 1,Shot Qual 3,,,,
.SCTimeline,5456.996,15.957000000000335,Red,30,,Box Touch 0,, | #5 Myles Watkins | #14 Dom Murphy | #22 Darrius Bolden | #44 Jacob Wassler,4v4,"#5 Myles Watkins, #14 Dom Murphy, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 1,No Shot,,,,
.SCTimeline,5488.343,20.733000000000175,Red,31,-3,Box Touch 0,, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden,4v4,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden",Half Court ,Reversal 2,Shot Qual 1,,,,
.SCTimeline,5520.219,22.06800000000021,Red,32,-3,Box Touch 2,, | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,4v4,"#5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 1,Shot Qual 3,,,,
.SCTimeline,5558.096,11.799000000000888,Red,33,,Box Touch 0,, | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,4v4,"#5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court ,Reversal 0,No Shot,,,,
.SCTimeline,6516.497,18.50799999999981,Red,34,+3,Box Touch 0,, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden",Half Court ,Reversal 0,Shot Qual 2,,,,
.SCTimeline,6546.184,15.948999999999614,Red,35,Deflection,Box Touch 0,, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden",Half Court ,Reversal 0,No Shot,,,,
