Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251008,6237.6702444444445,15.075443640555932,Red,27,,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #23 Sam Donald",Half Court,Reversal 0,No Shot,,,,
251008,6306.513875902,18.017189336999763,Red,28,-2,Box Touch 0, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 3,,,,
251008,6354.198474081937,22.402640223062917,Red,29,+2,Box Touch 1, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #23 Sam Donald,5v5,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #23 Sam Donald",Half Court,Reversal 1,"Shot Qual 3, Foul Drawn",,,,
251008,6682.498142665351,7.054803500648632,Red,30,,Box Touch 0, | #0 Tommy Clark | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #23 Sam Donald,5v5,"#0 Tommy Clark, #4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #23 Sam Donald",Other,Reversal 0,"Foul Drawn, No Shot",,,,
251008,1412.3966503595586,14.201602334043855,Team1,1,,,,,,,,,,,,
251008,983.248965443,8.0,#8 Kenyon Goodin,1,+3,Box Touch 1,,Scramble,,,Reversal 2,Shot Qual 3,,,,
251008,1020.750385905,10.0,#8 Kenyon Goodin,2,Assist,,,Scramble,,,,,,,,
251008,1232.885033336,8.0,#8 Kenyon Goodin,3,+2,Box Touch 1,,Scramble,,,Reversal 2,Shot Qual 4,,,,
251008,1232.885033336,10.0,#8 Kenyon Goodin,4,Cut FG,,,Scramble,,,,,,,,
251008,1259.251389663,8.0,#8 Kenyon Goodin,5,+3,Box Touch 0,,Scramble,,,Reversal 1,Shot Qual 3,,,,
251008,2684.160037558,10.0,#8 Kenyon Goodin,6,Cut Assist,,,Kill Drill,,,,,,,,
251008,3695.684746128,10.0,#8 Kenyon Goodin,7,Steal,,,5v5,,,,,,,,
251008,3698.942266167,8.0,#8 Kenyon Goodin,8,+2,Box Touch 0,,5v5,,,Reversal 0,Shot Qual 4,,,,
251008,4133.411643761,10.0,#8 Kenyon Goodin,9,O REB,,,5v5,,,,,,,,
251008,4376.218138513,10.0,#8 Kenyon Goodin,10,Cut FG,,,5v5,,,,,,,,
251008,4412.559616093,8.0,#8 Kenyon Goodin,11,-3,Box Touch 0,,5v5,,,Reversal 1,Shot Qual 2,,,,
251008,4493.217279787,10.0,#8 Kenyon Goodin,12,D REB,,,5v5,,,,,,,,
251008,4497.692392485,10.0,#8 Kenyon Goodin,13,Assist,,,5v5,,,,,,,,
